id,model,SKU,scaned_images_path,website_images_path,category,source,first_date,semi,avg_of_stones,craeted_at,updated_at
8956,7-1078,G71078,H:\Gold-Models\,H:\Gold-Models\,**, production,OLD,Semi,1.39,11/04/2023,22/04/2024
8957,7-1079,G71079,H:\Gold-Models\,H:\Gold-Models\,***, production,OLD,Semi,Not Available,11/04/2023,22/04/2024
8958,7-1080,G71080,H:\Gold-Models\,H:\Gold-Models\,***, production,OLD,Semi,0.49,12/04/2023,22/04/2024
8959,7-1081,G71081,H:\Gold-Models\,H:\Gold-Models\, , production, , ,0.38,20/09/2019,22/04/2024
8960,7-1082,G71082,H:\Gold-Models\,H:\Gold-Models\,***, production,OLD,Semi,1.04,11/04/2023,22/04/2024
8961,7-1083,G71083,H:\Gold-Models\,H:\Gold-Models\,***, production,OLD, ,Not Available,12/04/2023,22/04/2024
8962,7-1084,G71084,H:\Gold-Models\,H:\Gold-Models\,*, production,OLD, ,Not Available,12/04/2023,22/04/2024
8963,7-1085,G71085,H:\Gold-Models\,H:\Gold-Models\, , production,OLD, ,Not Available,20/09/2019,22/04/2024
8964,7-1086,G71086,H:\Gold-Models\,H:\Gold-Models\, , production,OLD, ,Not Available,20/09/2019,22/04/2024
8965,7-1087,G71087,H:\Gold-Models\,H:\Gold-Models\, , production, , ,0.38,26/09/2019,22/04/2024
8966,7-1088-A,G71088A,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,20/08/2021,22/04/2024
8967,7-1088-b,G71088b,H:\Gold-Models\,H:\Gold-Models\, , production,OLD, ,Not Available,11/04/2023,22/04/2024
8968,7-1088,G71088,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,28/09/2019,22/04/2024
8969,7-1089,G71089,H:\Gold-Models\,H:\Gold-Models\,***, production,OLD, ,Not Available,11/04/2023,22/04/2024
8970,7-1090,G71090,H:\Gold-Models\,H:\Gold-Models\,***, production,26/07/2022,Semi,0.98,11/04/2023,22/04/2024
8971,7-1091,G71091,H:\Gold-Models\,H:\Gold-Models\,***, production,OLD,Semi,0.52,12/04/2023,22/04/2024
8972,7-1092,G71092,H:\Gold-Models\,H:\Gold-Models\, , production, ,Semi,0.19,16/08/2023,22/04/2024
8973,7-1093-a,G71093a,H:\Gold-Models\,H:\Gold-Models\,***, production,OLD,Semi,0.83,11/04/2023,22/04/2024
8974,7-1093-b,G71093b,H:\Gold-Models\,H:\Gold-Models\,***, production,OLD,Semi,0.80,19/03/2022,22/04/2024
8975,7-1093,G71093,H:\Gold-Models\,H:\Gold-Models\, , production, ,Semi,Not Available,02/11/2019,22/04/2024
8976,7-1094,G71094,H:\Gold-Models\,H:\Gold-Models\, , production, ,Semi,Not Available,02/11/2019,22/04/2024
8977,7-1095,G71095,H:\Gold-Models\,H:\Gold-Models\, , production, ,Semi,Not Available,02/11/2019,22/04/2024
8978,7-1096,G71096,H:\Gold-Models\,H:\Gold-Models\,***, production,OLD,Semi,0.35,11/04/2023,22/04/2024
8979,7-1097,G71097,H:\Gold-Models\,H:\Gold-Models\,***, production,OLD,Semi,Not Available,11/04/2023,22/04/2024
8980,7-1098,G71098,H:\Gold-Models\,H:\Gold-Models\, , production,OLD,Semi,Not Available,02/11/2019,22/04/2024
